Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
23rd of March 2020,MIBR,Gen.G,2,0,Flashpoint 1,https://www.hltv.org//stats/matches/73206/mibr-vs-geng
23rd of March 2020,FATE,Prima,1,2,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73205/fate-vs-prima
23rd of March 2020,North,BIG,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73204/north-vs-big
23rd of March 2020,SKADE,Pompa,2,0,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73203/skade-vs-pompa
23rd of March 2020,MAD Lions,c0ntact,2,0,Flashpoint 1,https://www.hltv.org//stats/matches/73202/mad-lions-vs-c0ntact
23rd of March 2020,HellRaisers,Cyber Legacy,2,1,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73201/hellraisers-vs-cyber-legacy
23rd of March 2020,Juggernauts,Unique,1,2,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73200/juggernauts-vs-unique
23rd of March 2020,fnatic,forZe,2,1,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73199/fnatic-vs-forze
23rd of March 2020,Ground Zero,Chiefs,2,0,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73198/ground-zero-vs-chiefs
23rd of March 2020,Airborne,Rooster,2,0,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73197/airborne-vs-rooster
23rd of March 2020,Station7,Yeah,0,2,eFire Master League North America,https://www.hltv.org//stats/matches/73196/station7-vs-yeah
22nd of March 2020,Vitality,NiP,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73195/vitality-vs-nip
22nd of March 2020,SKADE,Endpoint,1,2,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73194/skade-vs-endpoint
22nd of March 2020,HAVU,c0ntact,2,1,Flashpoint 1,https://www.hltv.org//stats/matches/73193/havu-vs-c0ntact
22nd of March 2020,Chetz,Ambush,1,2,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73192/chetz-vs-ambush
22nd of March 2020,SJ,Tricked,1,2,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73191/sj-vs-tricked
22nd of March 2020,ALTERNATE aTTaX,Salamander,2,1,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73190/alternate-attax-vs-salamander
22nd of March 2020,Vexed,Apeks,2,0,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73189/vexed-vs-apeks
22nd of March 2020,Astralis,Spirit,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73188/astralis-vs-spirit
22nd of March 2020,Turkey5,Defusekids,2,0,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73187/turkey5-vs-defusekids
22nd of March 2020,Orgless,FunPlus Phoenix,1,0,Flashpoint 1,
22nd of March 2020,ENCE,GODSENT,1,2,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73185/ence-vs-godsent
22nd of March 2020,ORDER,AVANT,3,1,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73184/order-vs-avant
22nd of March 2020,AVANT,Rooster,2,0,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73183/avant-vs-rooster
21st of March 2020,fnatic,North,2,1,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73182/fnatic-vs-north
21st of March 2020,Gen.G,Chaos,0,2,Flashpoint 1,https://www.hltv.org//stats/matches/73181/geng-vs-chaos
21st of March 2020,Natus Vincere,forZe,2,1,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73180/natus-vincere-vs-forze
21st of March 2020,MAD Lions,Copenhagen Flames,2,1,Flashpoint 1,https://www.hltv.org//stats/matches/73179/mad-lions-vs-copenhagen-flames
21st of March 2020,BIG,Complexity,1,2,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73178/big-vs-complexity
21st of March 2020,Rooster,Ground Zero,2,0,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73177/rooster-vs-ground-zero
21st of March 2020,Chiefs,Ground Zero,1,2,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73176/chiefs-vs-ground-zero
21st of March 2020,AVANT,ORDER,0,2,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73175/avant-vs-order
21st of March 2020,Skyfire,Rooster,0,2,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73174/skyfire-vs-rooster
21st of March 2020,Yeah,Thunder Logic,5,16,eFire Master League North America,https://www.hltv.org//stats/matches/mapstatsid/100524/thunder-logic-vs-yeah
20th of March 2020,Astralis,ENCE,2,1,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73172/astralis-vs-ence
20th of March 2020,Dignitas,Cloud9,0,2,Flashpoint 1,https://www.hltv.org//stats/matches/73171/dignitas-vs-cloud9
20th of March 2020,Prima,Defusekids,2,1,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73170/prima-vs-defusekids
20th of March 2020,Vitality,Spirit,1,2,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73169/vitality-vs-spirit
20th of March 2020,Unique,Endpoint,0,2,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73168/unique-vs-endpoint
20th of March 2020,Envy,MIBR,0,2,Flashpoint 1,https://www.hltv.org//stats/matches/73167/envy-vs-mibr
20th of March 2020,Ambush,Apeks,0,2,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73166/ambush-vs-apeks
20th of March 2020,NiP,GODSENT,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73165/nip-vs-godsent
20th of March 2020,ORDER,Rooster,2,0,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73164/order-vs-rooster
20th of March 2020,Paradox,Ground Zero,0,2,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/100496/ground-zero-vs-paradox
20th of March 2020,AVANT,Chiefs,2,0,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73162/avant-vs-chiefs
20th of March 2020,Skyfire,TRIDENT,2,0,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73161/skyfire-vs-trident
20th of March 2020,Rooster,Ground Zero,2,1,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73160/rooster-vs-ground-zero
20th of March 2020,AVANT,Skyfire,2,0,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73159/avant-vs-skyfire
20th of March 2020,TRIDENT,Chiefs,0,2,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73158/trident-vs-chiefs
20th of March 2020,Paradox,ORDER,0,2,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/73157/paradox-vs-order
20th of March 2020,TeamOne,Under 21,2,0,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73156/teamone-vs-under-21
20th of March 2020,Rugratz,Thunder Logic,0,1,eFire Master League North America,
20th of March 2020,Yeah,Big Frames,16,7,eFire Master League North America,https://www.hltv.org//stats/matches/mapstatsid/100482/yeah-vs-big-frames
19th of March 2020,fnatic,Complexity,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73153/fnatic-vs-complexity
19th of March 2020,Nordavind,Japaleno,1,2,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73152/nordavind-vs-japaleno
19th of March 2020,ALTERNATE aTTaX,SJ,2,0,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73151/alternate-attax-vs-sj
19th of March 2020,SKADE,Juggernauts,2,0,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73150/skade-vs-juggernauts
19th of March 2020,Tricked,Salamander,1,2,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73149/tricked-vs-salamander
19th of March 2020,Vexed,Chetz,2,0,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73148/vexed-vs-chetz
19th of March 2020,Natus Vincere,BIG,0,2,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73147/natus-vincere-vs-big
19th of March 2020,Cyber Legacy,Pompa,0,2,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73146/cyber-legacy-vs-pompa
19th of March 2020,FATE,Turkey5,2,0,ESEA Advanced Season 33 Europe,https://www.hltv.org//stats/matches/73145/fate-vs-turkey5
19th of March 2020,SKADE,HellRaisers,2,1,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73144/skade-vs-hellraisers
19th of March 2020,forZe,North,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73143/forze-vs-north
19th of March 2020,Eimi Fukada FC,i sleep,2,1,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73142/eimi-fukada-fc-vs-i-sleep
19th of March 2020,Shidiots,MARKandLARRY,2,0,LPL Pro League Season 4,https://www.hltv.org//stats/matches/73141/shidiots-vs-markandlarry
19th of March 2020,Paradox,Skyfire,2,0,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73140/paradox-vs-skyfire
19th of March 2020,Rugratz,Under 21,0,2,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73139/rugratz-vs-under-21
19th of March 2020,Chaos,TeamOne,1,2,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73138/chaos-vs-teamone
19th of March 2020,Triumph,Under 21,2,1,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73137/triumph-vs-under-21
19th of March 2020,New England Whalers,AA,0,2,eFire Master League North America,https://www.hltv.org//stats/matches/73136/new-england-whalers-vs-aa
19th of March 2020,Bad News Bears,TeamOne,2,0,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73135/bad-news-bears-vs-teamone
19th of March 2020,Chaos,Mythic,2,0,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73134/chaos-vs-mythic
19th of March 2020,Rugratz,Recon 5,2,0,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73133/rugratz-vs-recon-5
18th of March 2020,Japaleno,HellRaisers,2,1,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73132/japaleno-vs-hellraisers
18th of March 2020,Vitality,ENCE,2,1,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73131/vitality-vs-ence
19th of March 2020,Airborne,Corvidae,1,0,LPL Pro League Season 4,
18th of March 2020,Movistar Riders,Nordavind,0,2,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73129/movistar-riders-vs-nordavind
18th of March 2020,AGO,Nordavind,2,1,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73128/ago-vs-nordavind
18th of March 2020,HellRaisers,GamerLegion,2,1,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73127/hellraisers-vs-gamerlegion
18th of March 2020,Sprout,Japaleno,2,0,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73126/sprout-vs-japaleno
18th of March 2020,Tricked,Endpoint,2,0,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73125/tricked-vs-endpoint
18th of March 2020,Movistar Riders,pro100,2,0,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73124/movistar-riders-vs-pro100
18th of March 2020,Astralis,GODSENT,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73123/astralis-vs-godsent
18th of March 2020,NiP,Spirit,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73122/nip-vs-spirit
18th of March 2020,Chiefs,i sleep,2,0,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73121/chiefs-vs-i-sleep
18th of March 2020,Ground Zero,Eimi Fukada FC,2,0,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73120/ground-zero-vs-eimi-fukada-fc
18th of March 2020,District 7,AA,1,2,eFire Master League North America,https://www.hltv.org//stats/matches/73119/district-7-vs-aa
18th of March 2020,Under 21,Mythic,2,1,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73118/under-21-vs-mythic
18th of March 2020,Chaos,Triumph,0,2,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73117/chaos-vs-triumph
18th of March 2020,Recon 5,TeamOne,0,2,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73116/recon-5-vs-teamone
18th of March 2020,Rugratz,Bad News Bears,0,2,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/73115/rugratz-vs-bad-news-bears
18th of March 2020,New England Whalers,Station7,12,16,eFire Master League North America,https://www.hltv.org//stats/matches/mapstatsid/100377/new-england-whalers-vs-station7
17th of March 2020,fnatic,BIG,1,2,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73113/fnatic-vs-big
17th of March 2020,pro100,Japaleno,0,2,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73112/pro100-vs-japaleno
17th of March 2020,GamerLegion,Nordavind,1,2,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73111/gamerlegion-vs-nordavind
17th of March 2020,Sprout,Movistar Riders,2,0,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73110/sprout-vs-movistar-riders
17th of March 2020,AGO,HellRaisers,2,0,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/73109/ago-vs-hellraisers
17th of March 2020,Natus Vincere,North,0,2,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73108/natus-vincere-vs-north
17th of March 2020,Singularity,Endpoint,0,2,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73107/singularity-vs-endpoint
17th of March 2020,forZe,Complexity,2,1,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73106/forze-vs-complexity
17th of March 2020,Espada,Tricked,2,0,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73105/espada-vs-tricked
17th of March 2020,Rooster,Skyfire,2,0,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73104/rooster-vs-skyfire
17th of March 2020,Paradox,Airborne,1,2,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73103/paradox-vs-airborne
17th of March 2020,AA,Station7,5,16,eFire Master League North America,https://www.hltv.org//stats/matches/mapstatsid/100347/station7-vs-aa
17th of March 2020,New England Whalers,District 7,16,7,eFire Master League North America,https://www.hltv.org//stats/matches/mapstatsid/100346/district-7-vs-new-england-whalers
16th of March 2020,Astralis,NiP,0,2,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73100/astralis-vs-nip
16th of March 2020,Vitality,GODSENT,2,0,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73099/vitality-vs-godsent
16th of March 2020,Singularity,Espada,1,2,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73098/singularity-vs-espada
16th of March 2020,ENCE,Spirit,0,2,ESL Pro League Season 11 Europe,https://www.hltv.org//stats/matches/73097/ence-vs-spirit
16th of March 2020,Thunder Logic,Under 21,11,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100334/thunder-logic-vs-under-21
16th of March 2020,Thunder Logic,New England Whalers,16,13,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100332/thunder-logic-vs-new-england-whalers
16th of March 2020,District 7,Bad News Bears,7,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100333/bad-news-bears-vs-district-7
16th of March 2020,Under 21,TeamOne,12,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100331/under-21-vs-teamone
16th of March 2020,District 7,Rugratz,9,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100330/district-7-vs-rugratz
16th of March 2020,Infinity,Thunder Logic,16,14,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100329/thunder-logic-vs-infinity
16th of March 2020,Chaos,Recon 5,0,1,ESEA MDL Season 33 North America,
16th of March 2020,Chaos,In The Lab,16,1,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100328/chaos-vs-in-the-lab
16th of March 2020,Recon 5,Oceanus,16,5,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100327/recon-5-vs-oceanus
16th of March 2020,Rugratz,New England Whalers,16,10,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100326/new-england-whalers-vs-rugratz
15th of March 2020,FunPlus Phoenix,Cloud9,1,2,Flashpoint 1,https://www.hltv.org//stats/matches/73086/funplus-phoenix-vs-cloud9
16th of March 2020,Bad News Bears,Station7,16,8,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100324/station7-vs-bad-news-bears
16th of March 2020,Chaos,Monstars,16,12,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100323/chaos-vs-monstars
16th of March 2020,Thunder Logic,TeamOne,5,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100322/thunder-logic-vs-teamone
15th of March 2020,Paquetá,Imperial,0,2,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/73082/paquet-vs-imperial
15th of March 2020,Orgless,Dignitas,1,2,Flashpoint 1,https://www.hltv.org//stats/matches/73081/orgless-vs-dignitas
15th of March 2020,Endpoint,Tricked,1,2,SECTOR: MOSTBET Season 2,https://www.hltv.org//stats/matches/73080/endpoint-vs-tricked
15th of March 2020,EthereaL,S2V,0,2,META '20 Open,https://www.hltv.org//stats/matches/73079/ethereal-vs-s2v
15th of March 2020,Singularity,pro100,1,0,ESEA MDL Season 33 Europe,
15th of March 2020,Rooster,Chiefs,1,0,ESEA MDL Season 33 Australia,
15th of March 2020,Airborne,i sleep,1,2,ESL Australia & NZ Championship Season 10 Qualifier 3,https://www.hltv.org//stats/matches/73076/airborne-vs-i-sleep
15th of March 2020,i sleep,Incept,2,0,ESL Australia & NZ Championship Season 10 Qualifier 3,https://www.hltv.org//stats/matches/73075/i-sleep-vs-incept
15th of March 2020,Paquetá,FURIA Inagame,2,1,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/73074/paquet-vs-furia-inagame
15th of March 2020,Big Frames,Chaos,13,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100303/chaos-vs-big-frames
15th of March 2020,Thunder Logic,In The Lab,16,14,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100304/in-the-lab-vs-thunder-logic
15th of March 2020,TeamOne,Big Frames,16,5,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100300/teamone-vs-big-frames
15th of March 2020,Chaos,Oceanus,16,8,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100299/chaos-vs-oceanus
15th of March 2020,Thunder Logic,Swole Identity,19,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100298/thunder-logic-vs-swole-identity
15th of March 2020,i sleep,Airborne,0,2,ESL Australia & NZ Championship Season 10 Qualifier 3,https://www.hltv.org//stats/matches/73068/i-sleep-vs-airborne
15th of March 2020,Chaos,Oceanus,16,8,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100299/chaos-vs-oceanus
15th of March 2020,Thunder Logic,Swole Identity,19,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100298/thunder-logic-vs-swole-identity
15th of March 2020,i sleep,Airborne,0,2,ESL Australia & NZ Championship Season 10 Qualifier 3,https://www.hltv.org//stats/matches/73068/i-sleep-vs-airborne
15th of March 2020,Swole Identity,Mythic,9,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100295/swole-identity-vs-mythic
14th of March 2020,Chaos,MIBR,2,0,Flashpoint 1,https://www.hltv.org//stats/matches/73066/chaos-vs-mibr
14th of March 2020,Mythic,Station7,14,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100292/station7-vs-mythic
14th of March 2020,Imperial,Reapers,2,0,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/73064/imperial-vs-reapers
14th of March 2020,EthereaL,FiRENATiON,2,0,HardCup 6,https://www.hltv.org//stats/matches/mapstatsid/100290/ethereal-vs-firenation
14th of March 2020,Gen.G,Envy,2,1,Flashpoint 1,https://www.hltv.org//stats/matches/73062/geng-vs-envy
14th of March 2020,Supremacy,Infamous,2,0,Movistar LPG Season 3,https://www.hltv.org//stats/matches/73061/supremacy-vs-infamous
14th of March 2020,AVANT,ORDER,3,0,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73060/avant-vs-order
14th of March 2020,EGOBOYZ,Infamous,1,2,Movistar LPG Season 3,https://www.hltv.org//stats/matches/73059/egoboyz-vs-infamous
14th of March 2020,FURIA Inagame,No2B,2,1,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/73058/furia-inagame-vs-no2b
14th of March 2020,ORDER,Paradox,2,1,ESL Australia & NZ Championship Season 10,https://www.hltv.org//stats/matches/73057/order-vs-paradox
14th of March 2020,Bad News Bears,Under 21,18,22,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100269/bad-news-bears-vs-under-21
27th of February 2020,Airborne,ROCK CANDY,1,0,ESEA MDL Season 33 Australia,
14th of March 2020,Triumph,Chaos,16,8,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100265/triumph-vs-chaos
14th of March 2020,Bad News Bears,Triumph,16,10,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100261/triumph-vs-bad-news-bears
14th of March 2020,Chaos,TeamOne,16,3,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100260/teamone-vs-chaos
13th of March 2020,Reapers,Neverest,2,1,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/73051/reapers-vs-neverest
14th of March 2020,TeamOne,Rugratz,11,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100258/rugratz-vs-teamone
13th of March 2020,Copenhagen Flames,c0ntact,0,2,Flashpoint 1,https://www.hltv.org//stats/matches/73049/copenhagen-flames-vs-c0ntact
14th of March 2020,Swole Patrol,New England Whalers,0,1,ESEA MDL Season 33 North America,
13th of March 2020,MAD Lions,HAVU,1,2,Flashpoint 1,https://www.hltv.org//stats/matches/73047/mad-lions-vs-havu
13th of March 2020,pro100,Sprout,16,12,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100248/pro100-vs-sprout
13th of March 2020,Spirit,Demolition Crew,16,9,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100247/demolition-crew-vs-spirit
13th of March 2020,Singularity,Unicorns of Love,16,7,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100246/unicorns-of-love-vs-singularity
13th of March 2020,Spirit,pro100,16,8,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100245/spirit-vs-pro100
13th of March 2020,pro100,Illuminar,1,0,ESEA MDL Season 33 Europe,
13th of March 2020,Illuminar,Sprout,0,1,ESEA MDL Season 33 Europe,
13th of March 2020,TeamOne,In The Lab,16,5,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100244/teamone-vs-in-the-lab
13th of March 2020,Oceanus,Swole Patrol,10,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100243/swole-patrol-vs-oceanus
13th of March 2020,District 7,Mythic,16,11,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100242/mythic-vs-district-7
13th of March 2020,New England Whalers,TeamOne,16,12,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100241/teamone-vs-new-england-whalers
13th of March 2020,Divine,Big Frames,16,11,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100240/big-frames-vs-divine
13th of March 2020,Chaos,Thunder Logic,16,12,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100239/chaos-vs-thunder-logic
13th of March 2020,District 7,Divine,22,20,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100236/district-7-vs-divine
13th of March 2020,Swole Patrol,Under 21,16,8,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100229/under-21-vs-swole-patrol
13th of March 2020,Swole Identity,Big Frames,25,22,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100230/big-frames-vs-swole-identity
13th of March 2020,TeamOne,Mythic,4,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100228/mythic-vs-teamone
13th of March 2020,ex-UP,Neverest,11,16,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/mapstatsid/100225/neverest-vs-ex-up
13th of March 2020,Thunder Logic,Rugratz,11,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100227/rugratz-vs-thunder-logic
13th of March 2020,Triumph,In The Lab,16,7,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100226/in-the-lab-vs-triumph
13th of March 2020,Bad News Bears,Oceanus,16,4,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100224/bad-news-bears-vs-oceanus
13th of March 2020,Under 21,Mythic,22,19,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100221/under-21-vs-mythic
13th of March 2020,Divine,Station7,13,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100220/station7-vs-divine
13th of March 2020,Chaos,New England Whalers,16,10,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100219/chaos-vs-new-england-whalers
13th of March 2020,District 7,Swole Patrol,12,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100218/district-7-vs-swole-patrol
13th of March 2020,Swole Identity,Bad News Bears,9,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100217/bad-news-bears-vs-swole-identity
13th of March 2020,Triumph,Monstars,16,4,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/100216/triumph-vs-monstars
13th of March 2020,FURIA Inagame,Imperial,10,16,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/mapstatsid/100215/furia-inagame-vs-imperial
12th of March 2020,No2B,NOORG,19,17,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/mapstatsid/100213/no2b-vs-noorg
12th of March 2020,Reapers,Paquetá,12,16,Aorus League 2020 #1 Brazil,https://www.hltv.org//stats/matches/mapstatsid/100212/reapers-vs-paquet
12th of March 2020,Illuminar,Spirit,10,16,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100211/illuminar-vs-spirit
12th of March 2020,HellRaisers,Singularity,16,12,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100210/hellraisers-vs-singularity
12th of March 2020,Japaleno,BIG,11,16,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100209/japaleno-vs-big
12th of March 2020,PACT,pro100,11,16,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100206/pact-vs-pro100
12th of March 2020,Spirit,Nemiga,8,16,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/100207/nemiga-vs-spirit
