Date,Team1,Team2,Final Result 1,Final Result 2,Tournament,Link Stats
12th of February 2020,HellRaisers,Movistar Riders,16,7,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98569/movistar-riders-vs-hellraisers
12th of February 2020,Nemiga,BIG,13,16,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98568/big-vs-nemiga
12th of February 2020,Gambit Youngsters,Espada,2,0,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72187/gambit-youngsters-vs-espada
12th of February 2020,Paradox,Esper,16,4,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98564/esper-vs-paradox
12th of February 2020,Airborne,Skyfire,14,16,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98563/airborne-vs-skyfire
12th of February 2020,Esper,PC419,6,16,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98562/pc419-vs-esper
12th of February 2020,Monstars,Station7,9,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/98561/monstars-vs-station7
12th of February 2020,Rugratz,Riot Squad,12,16,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/98560/riot-squad-vs-rugratz
12th of February 2020,Mythic,eUnited,16,8,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/98559/eunited-vs-mythic
11th of February 2020,Revolt,eL'quvet,0,2,CIS Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72180/revolt-vs-elquvet
11th of February 2020,Nemiga,Unicorns of Love,16,14,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98557/nemiga-vs-unicorns-of-love
11th of February 2020,Nemiga,Unicorns of Love,16,14,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98557/nemiga-vs-unicorns-of-love
11th of February 2020,Wisla Krakow,Movistar Riders,16,11,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98555/wisla-krakow-vs-movistar-riders
11th of February 2020,EXTREMUM,Espada,1,2,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72177/extremum-vs-espada
11th of February 2020,ne parsya,fbg,0,2,CIS Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/72176/ne-parsya-vs-fbg
11th of February 2020,Unique,pro100,0,2,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72175/unique-vs-pro100
11th of February 2020,TRIDENT,ROCK CANDY,16,3,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98547/trident-vs-rock-candy
11th of February 2020,Incept,Chiefs,12,16,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98546/chiefs-vs-incept
11th of February 2020,Skyfire,FURY,4,16,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98545/skyfire-vs-fury
11th of February 2020,ROCK CANDY,Paradox,0,1,ESEA MDL Season 33 Australia,
11th of February 2020,Mythic,Monstars,28,25,ESEA MDL Season 33 North America,https://www.hltv.org//stats/matches/mapstatsid/98540/mythic-vs-monstars
10th of February 2020,eL'quvet,Project X,19,17,CIS Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98536/project-x-vs-elquvet
10th of February 2020,Revolt,Se7en,16,10,CIS Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98535/se7en-vs-revolt
10th of February 2020,fbg,lapw,19,17,CIS Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98533/fbg-vs-lapw
10th of February 2020,maslomaslo,ne parsya,3,16,CIS Minor Open Qualifier 3 - ESL One Rio 2020,https://www.hltv.org//stats/matches/mapstatsid/98532/ne-parsya-vs-maslomaslo
10th of February 2020,Spirit,Gambit Youngsters,2,1,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72165/spirit-vs-gambit-youngsters
10th of February 2020,HAVU,Demolition Crew,16,10,ESEA MDL Season 33 Europe,https://www.hltv.org//stats/matches/mapstatsid/98528/demolition-crew-vs-havu
10th of February 2020,pro100,Espada,2,0,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72163/pro100-vs-espada
10th of February 2020,Revolt,SG.pro,2,0,WESG 2019 Russia Closed Qualifier,https://www.hltv.org//stats/matches/72162/revolt-vs-sgpro
10th of February 2020,ORDER,TRIDENT,16,11,ESEA MDL Season 33 Australia,https://www.hltv.org//stats/matches/mapstatsid/98520/order-vs-trident
